id_movimento,vlr_transacao_movimento,descricao_transacao_movimento,data_transacao_movimento,id_cartao
1,151.55,Academia - Mensalidade,2020-01-01,132
2,458.92,Academia - Mensalidade,2020-01-01,5
3,215.9,E-commerce - Compra online,2020-01-01,229
4,429.7,Supermercado - Compra de alimentos,2020-01-01,211
5,236.52,Posto de Gasolina - Abastecimento,2020-01-01,163
6,134.65,E-commerce - Compra online,2020-01-01,74
7,402.52,Posto de Gasolina - Abastecimento,2020-01-01,209
8,198.75,Farmácia - Medicamentos,2020-01-01,102
9,143.42,Supermercado - Compra de alimentos,2020-01-01,179
10,494.25,Loja de Roupas - Vestuário,2020-01-01,208
11,61.65,Loja de Roupas - Vestuário,2020-01-01,189
12,81.81,E-commerce - Compra online,2020-01-01,206
13,243.56,Posto de Gasolina - Abastecimento,2020-01-01,6
14,383.76,Farmácia - Medicamentos,2020-01-01,151
15,82.9,Restaurante - Refeição,2020-01-01,187
16,292.24,E-commerce - Compra online,2020-01-01,75
17,148.18,Academia - Mensalidade,2020-01-01,45
18,221.72,Cinema - Ingresso,2020-01-01,108
19,302.56,Loja de Roupas - Vestuário,2020-01-01,203
20,6.54,Livraria - Compra de livros,2020-01-01,239
21,159.23,E-commerce - Compra online,2020-01-01,208
22,370.78,Cinema - Ingresso,2020-01-01,15
23,393.9,Cinema - Ingresso,2020-01-01,214
24,258.48,Posto de Gasolina - Abastecimento,2020-01-01,47
25,298.4,Eletrônicos - Acessórios,2020-01-01,126
26,288.29,Academia - Mensalidade,2020-01-01,217
27,218.28,Supermercado - Compra de alimentos,2020-01-01,118
28,372.2,Loja de Roupas - Vestuário,2020-01-01,137
29,392.39,Restaurante - Refeição,2020-01-01,15
30,57.36,Academia - Mensalidade,2020-01-01,160
31,173.29,Loja de Roupas - Vestuário,2020-01-01,195
32,236.0,Academia - Mensalidade,2020-01-01,217
33,419.66,Posto de Gasolina - Abastecimento,2020-01-01,58
34,391.91,E-commerce - Compra online,2020-01-01,104
35,199.34,E-commerce - Compra online,2020-01-01,238
36,343.14,Livraria - Compra de livros,2020-01-01,21
37,74.09,Loja de Roupas - Vestuário,2020-01-01,74
38,414.26,Livraria - Compra de livros,2020-01-01,207
39,239.24,Supermercado - Compra de alimentos,2020-01-01,145
40,401.57,Cinema - Ingresso,2020-01-01,74
41,487.49,Loja de Roupas - Vestuário,2020-01-01,113
42,234.21,Livraria - Compra de livros,2020-01-01,241
43,297.52,Supermercado - Compra de alimentos,2020-01-01,169
44,415.81,Eletrônicos - Acessórios,2020-01-01,51
45,445.77,Livraria - Compra de livros,2020-01-01,111
46,419.46,E-commerce - Compra online,2020-01-01,183
47,449.3,E-commerce - Compra online,2020-01-01,26
48,269.31,Posto de Gasolina - Abastecimento,2020-01-01,18
49,106.1,Cinema - Ingresso,2020-01-01,199
50,342.47,Loja de Roupas - Vestuário,2020-01-01,74
51,281.22,Loja de Roupas - Vestuário,2020-01-01,165
52,428.25,Livraria - Compra de livros,2020-01-01,163
53,335.61,Farmácia - Medicamentos,2020-01-01,85
54,174.54,E-commerce - Compra online,2020-01-01,196
55,40.41,E-commerce - Compra online,2020-01-01,73
56,68.2,Academia - Mensalidade,2020-01-01,5
57,82.36,E-commerce - Compra online,2020-01-01,45
58,379.69,Restaurante - Refeição,2020-01-01,240
59,218.43,E-commerce - Compra online,2020-01-01,74
60,316.65,Farmácia - Medicamentos,2020-01-01,208
61,134.17,Posto de Gasolina - Abastecimento,2020-01-01,56
62,267.62,Eletrônicos - Acessórios,2020-01-01,161
63,60.96,Loja de Roupas - Vestuário,2020-01-01,226
64,220.23,E-commerce - Compra online,2020-01-01,60
65,93.31,Supermercado - Compra de alimentos,2020-01-01,67
66,231.61,E-commerce - Compra online,2020-01-01,234
67,65.29,Farmácia - Medicamentos,2020-01-01,64
68,6.29,Livraria - Compra de livros,2020-01-01,137
69,223.92,Farmácia - Medicamentos,2020-01-01,135
70,336.23,E-commerce - Compra online,2020-01-01,36
71,283.6,Supermercado - Compra de alimentos,2020-01-01,117
72,388.86,Posto de Gasolina - Abastecimento,2020-01-01,47
73,207.75,Eletrônicos - Acessórios,2020-01-01,88
74,481.67,Livraria - Compra de livros,2020-01-01,150
75,9.0,Farmácia - Medicamentos,2020-01-01,153
76,63.26,Academia - Mensalidade,2020-01-01,11
77,207.5,Livraria - Compra de livros,2020-01-01,176
78,129.21,Farmácia - Medicamentos,2020-01-01,40
79,394.28,Eletrônicos - Acessórios,2020-01-01,161
80,369.3,Cinema - Ingresso,2020-01-01,60
81,187.56,E-commerce - Compra online,2020-01-01,242
82,192.2,Farmácia - Medicamentos,2020-01-01,110
83,242.09,Posto de Gasolina - Abastecimento,2020-01-01,117
84,436.62,Restaurante - Refeição,2020-01-01,9
85,82.35,Restaurante - Refeição,2020-01-01,150
86,229.2,Loja de Roupas - Vestuário,2020-01-01,113
87,490.62,E-commerce - Compra online,2020-01-01,126
88,171.81,Eletrônicos - Acessórios,2020-01-01,124
89,407.01,Supermercado - Compra de alimentos,2020-01-01,27
90,240.98,Livraria - Compra de livros,2020-01-01,97
91,484.38,Farmácia - Medicamentos,2020-01-01,185
92,353.79,E-commerce - Compra online,2020-01-01,8
93,271.8,Loja de Roupas - Vestuário,2020-01-01,141
94,70.96,Academia - Mensalidade,2020-01-01,130
95,190.93,Cinema - Ingresso,2020-01-01,82
96,25.5,Academia - Mensalidade,2020-01-01,208
97,449.36,Restaurante - Refeição,2020-01-01,52
98,448.6,E-commerce - Compra online,2020-01-01,41
